Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,SUM,Percent,P12,C2,Pm3,C4,C5,C6,C7,P1,P10,P11,C1,PC13,P14,P2,Pc14,Pc8,P5,PC11,P7,Pm14,Pc10,P9,P6,Pm10,PC14,Pm11,PC2,P4,PC9,c10,c11,c12,Pm15,c14,c15,c8,c9,pc13,pc15,pm12,pm13,p8,c13,pm2,c3,pm4,pm5,pm6,pm7,pm8,pm9
d__Eukaryota,k__Fungi,p__Rozellomycota,c__unclassified_p__Rozellomycota,o__unclassified_p__Rozellomycota,f__unclassified_p__Rozellomycota,g__unclassified_p__Rozellomycota,s__Rozellomycota_sp,ASV97,652,0.00037266683128,0,234,0,0,0,0,0,37,0,64,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__unclassified_f__Aspergillaceae,s__unclassified_f__Aspergillaceae,ASV974,34,1.94335464165E-5,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__unclassified_g__Aspergillus,ASV266,11772,0.00672857965925,52,48,157,84,0,123,85,33,0,5,20,28,0,0,579,0,288,0,0,0,0,980,0,105,0,47,0,6198,179,0,295,0,69,477,249,0,163,0,319,101,0,0,132,188,0,106,0,233,0,0,429
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Acrostalagmus,s__Acrostalagmus_luteoalbus,ASV975,31,1.77188217326E-5,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Coriolaceae,g__Trametes,s__unclassified_g__Trametes,ASV976,31,1.77188217326E-5,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Tremellaceae,g__Cryptococcus_f__Tremellaceae,s__Cryptococcus_cyanovorans,ASV55,375,0.000214340585476,0,0,129,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,42,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Sarocladium,s__Sarocladium_kiliense,ASV39,7200,0.00411533924113,236,219,817,19,0,0,0,27,548,6,386,559,149,61,648,431,430,282,0,165,268,385,626,161,7,170,0,0,565,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__Aspergillus_gracilis,ASV372,1267,0.00072418539146,0,0,0,39,0,62,33,27,0,0,0,71,0,0,0,0,149,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,209,209,141,57,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces,s__Talaromyces_stollii,ASV977,1160,0.000663026877738,0,32,0,0,0,0,0,25,0,0,0,0,0,41,0,384,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,135,58,0,0,0,0,0,0
d__Eukaryota,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium,s__Cladosporium_halotolerans,ASV112,8883,0.00507729978875,897,0,0,0,87,0,20,23,0,42,0,220,0,59,0,0,1533,47,0,0,0,1375,0,0,0,0,0,0,2234,177,649,0,0,0,0,43,0,0,0,0,0,130,0,0,0,0,448,0,0,0,899
d__Eukaryota,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_culmorum,ASV769,1621,0.000926522904149,0,1394,0,0,0,0,0,22,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
