Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,SUM,Percent,C1,C2,C4,C5,C6,C7,P1,P11,P12,P13,P14,P15,P2,P3,P4,P6,P7,P8,PC1,PC10,PC11,PC12,PC13,PC14,PC15,PC2,PC3,PC4,PC5,PC6,PC9,c10,c11,c12,c13,c14,c15,c8,c9,pm1,pm11,pm12,pm13,pm14,pm15,pm2,pm3,pm4,pm5,pm6,pm7,pm8,pm9
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV134,41485,0.0361542383295,0,0,0,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,16263,12498,11,2465,7996,76,139,228,0,379,45,0,0,0,0,0,0,0,0,110,0,0
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV129,11981,0.0104414590678,0,0,0,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2596,1045,140,2105,155,157,912,393,0,69,143,0,0,0,0,0,1229,53,0,15,0,963
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV151,834,0.000726832222895,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,6,0,719,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea,k__norank_d__Archaea,p__Aenigmarchaeota,c__Deep_Sea_Euryarchaeotic_GroupDSEG,o__norank_c__Deep_Sea_Euryarchaeotic_GroupDSEG,f__norank_o__norank_c__Deep_Sea_Euryarchaeotic_GroupDSEG,g__norank_f__norank_o__norank_c__Deep_Sea_Euryarchaeotic_GroupDSEG,s__uncultured_archaeon_g__norank_f__norank_o__norank,ASV377,241,0.000210031853379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV378,141,0.000122881706748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV1,13632,0.0118803079886,0,0,0,175,0,0,0,0,0,0,0,0,0,0,2694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3372,589,468,122,2236,183,3706,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV379,131,0.000114166692085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV127,5320,0.00463638780072,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,24,40,0,0,2773,2000,0,10,0,0,0,0,0,0,0,0,0,0,0,97
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV380,36,3.13740527868E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV157,416,0.000362544609981,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,111,36,34,24,0,0,10,0,4,0,0,0,0,0,0,0,3,0,45,13,0
d__Archaea,k__norank_d__Archaea,p__unclassified_k__norank_d__Archaea,c__unclassified_k__norank_d__Archaea,o__unclassified_k__norank_d__Archaea,f__unclassified_k__norank_d__Archaea,g__unclassified_k__norank_d__Archaea,s__unclassified_k__norank_d__Archaea,ASV154,2966,0.00258487334905,0,0,0,105,0,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,2020,149,29,361,0,29,13,0,5,0,0,0,0,0,0,0,0,0,0,0,2
